time,iiwa_joint_1,iiwa_joint_2,iiwa_joint_3,iiwa_joint_4,iiwa_joint_5,iiwa_joint_6,iiwa_joint_7
1763027696.417045,0.327740461,0.749566913,-0.280371308,-1.441709280,0.115927435,0.817933619,1.518474698
1763027696.422838,0.327740580,0.749566913,-0.280371189,-1.441709161,0.115927339,0.817933798,1.518474698
1763027696.428742,0.327740580,0.749566913,-0.280371070,-1.441709280,0.115927145,0.817933738,1.518474698
1763027696.434099,0.327740580,0.749566972,-0.280371070,-1.441709280,0.115927145,0.817933738,1.518474460
1763027696.444209,0.327740520,0.749566972,-0.280371070,-1.441709280,0.115927145,0.817933798,1.518474698
1763027696.517513,0.327740341,0.749566674,-0.280372381,-1.441709042,0.115927145,0.817933738,1.518474698
1763027696.523644,0.327740222,0.749566674,-0.280372500,-1.441709042,0.115927242,0.817933619,1.518474698
1763027696.529070,0.327740282,0.749566674,-0.280372679,-1.441709042,0.115927145,0.817933619,1.518474698
1763027696.535649,0.327740341,0.749566674,-0.280372679,-1.441709161,0.115927242,0.817933798,1.518474698
1763027696.541119,0.327740282,0.749566674,-0.280372679,-1.441709399,0.115927242,0.817933619,1.518474698
1763027696.547086,0.327740282,0.749566734,-0.280372858,-1.441709161,0.115927145,0.817933738,1.518474698
1763027696.553614,0.327740222,0.749566793,-0.280372798,-1.441709042,0.115927339,0.817933500,1.518474817
1763027696.559619,0.327740222,0.749566793,-0.280372798,-1.441709042,0.115927242,0.817933679,1.518474698
1763027696.564988,0.327740282,0.749566793,-0.280372858,-1.441709280,0.115927242,0.817933738,1.518474698
1763027696.570851,0.327740282,0.749566913,-0.280372858,-1.441709280,0.115927145,0.817933619,1.518474460
1763027696.576733,0.327740282,0.749566734,-0.280372798,-1.441709280,0.115927242,0.817933917,1.518474698
1763027696.582647,0.327740282,0.749566793,-0.280372798,-1.441709042,0.115927145,0.817933619,1.518474698
1763027696.589000,0.327740341,0.749566674,-0.280372798,-1.441709042,0.115927145,0.817933738,1.518474817
1763027696.595020,0.327740282,0.749566793,-0.280372798,-1.441709042,0.115927145,0.817933619,1.518474936
1763027696.600725,0.327740282,0.749566734,-0.280373096,-1.441709042,0.115927145,0.817933500,1.518474698
1763027696.606881,0.327740341,0.749566793,-0.280372977,-1.441709042,0.115927145,0.817933619,1.518474936
1763027696.612623,0.327740341,0.749566734,-0.280372977,-1.441709042,0.115927145,0.817933738,1.518474698
